Island,Year,TerritoryID,TerritoryNumber,TQcorrected,FieldPeriodID,PeriodStart,SummerIndex
CN,1990,125,85,22180.29223,12,22/01/1990,0.705128205
CN,1990,126,86,35909.53573,12,22/01/1990,0.705128205
CN,1990,127,87,31452.32716,12,22/01/1990,0.705128205
CN,1990,129,88,20689.89562,12,22/01/1990,0.705128205
CN,1990,131,89,12488.9824,12,22/01/1990,0.705128205
CN,1990,132,90,52135.97024,12,22/01/1990,0.705128205
CN,1990,133,91,5731.637193,12,22/01/1990,0.705128205
CN,1990,134,92,23380.63131,12,22/01/1990,0.705128205
CN,1990,137,93,54766.62189,12,22/01/1990,0.705128205
CN,1990,138,94,9586.862202,12,22/01/1990,0.705128205
CN,1990,142,95.1,10581.49146,12,22/01/1990,0.705128205
CN,1990,143,95.2,11574.56444,12,22/01/1990,0.705128205
CN,1990,144,96,13356.26095,12,22/01/1990,0.705128205
CN,1990,146,97,10639.593,12,22/01/1990,0.705128205
CN,1990,148,98,16684.89814,12,22/01/1990,0.705128205
CN,1990,150,99,5398.52158,12,22/01/1990,0.705128205
CN,1990,153,100,11268.08068,12,22/01/1990,0.705128205
CN,1990,154,101,12762.88546,12,22/01/1990,0.705128205
CN,1990,157,102,36078.97165,12,22/01/1990,0.705128205
CN,1990,158,103,19682.58252,12,22/01/1990,0.705128205
CN,1990,159,103.1,19944.72362,12,22/01/1990,0.705128205
CN,1990,160,104,22505.5758,12,22/01/1990,0.705128205
CN,1990,163,106,31846.74152,12,22/01/1990,0.705128205
CN,1990,164,107,34963.73356,12,22/01/1990,0.705128205
CN,1990,165,108,28503.20556,12,22/01/1990,0.705128205
CN,1990,166,109,95792.05771,12,22/01/1990,0.705128205
CN,1990,167,110,23510.17818,12,22/01/1990,0.705128205
CN,1990,168,111,52544.97303,12,22/01/1990,0.705128205
CN,1990,169,112,20356.16558,12,22/01/1990,0.705128205
CN,1990,170,113,,12,22/01/1990,0.705128205
CN,1990,171,114,35789.59577,12,22/01/1990,0.705128205
CN,1990,172,123,8301.539167,12,22/01/1990,0.705128205
CN,1990,285,105,,12,22/01/1990,0.705128205
CN,1996,1,1,12641.05789,21,24/06/1996,1
CN,1996,2,1.1,13842.85297,21,24/06/1996,1
CN,1996,3,2,50697.97092,21,24/06/1996,1
CN,1996,4,3,,21,24/06/1996,1
CN,1996,5,3.1,43100.35851,21,24/06/1996,1
CN,1996,7,4,,21,24/06/1996,1
CN,1996,8,5,22426.57798,21,24/06/1996,1
CN,1996,9,6,58198.62726,21,24/06/1996,1
CN,1996,12,7,28977.36613,21,24/06/1996,1
CN,1996,13,8,23851.5103,21,24/06/1996,1
CN,1996,14,9,41285.12497,21,24/06/1996,1
CN,1996,15,10,17583.02145,21,24/06/1996,1
CN,1996,16,11,31389.20833,21,24/06/1996,1
CN,1996,17,12,,21,24/06/1996,1
CN,1996,20,15,24967.67312,21,24/06/1996,1
CN,1996,22,16,49013.3192,21,24/06/1996,1
CN,1996,23,17,18177.64116,21,24/06/1996,1
CN,1996,24,18,19455.73668,21,24/06/1996,1
CN,1996,25,19,21337.64785,21,24/06/1996,1
CN,1996,26,20,35618.80092,21,24/06/1996,1
CN,1996,27,21,23278.58693,21,24/06/1996,1
CN,1996,28,22,21957.51459,21,24/06/1996,1
CN,1996,30,23,24323.69929,21,24/06/1996,1
CN,1996,31,23.1,,21,24/06/1996,1
CN,1996,32,24,48153.81503,21,24/06/1996,1
CN,1996,33,25,22324.67424,21,24/06/1996,1
CN,1996,35,26.1,32011.37794,21,24/06/1996,1
CN,1996,37,27,,21,24/06/1996,1
CN,1996,38,28,29773.62409,21,24/06/1996,1
CN,1996,40,29,21995.42226,21,24/06/1996,1
CN,1996,42,30.1,22789.10167,21,24/06/1996,1
CN,1996,43,30.2,8173.590393,21,24/06/1996,1
CN,1996,44,31,44113.04982,21,24/06/1996,1
CN,1996,45,32,40544.23185,21,24/06/1996,1
CN,1996,47,33,39152.63784,21,24/06/1996,1
CN,1996,48,33.1,31120.86156,21,24/06/1996,1
CN,1996,49,34,33831.12296,21,24/06/1996,1
CN,1996,51,35,34969.94429,21,24/06/1996,1
CN,1996,52,36,18460.09881,21,24/06/1996,1
CN,1996,53,37,22481.51177,21,24/06/1996,1
CN,1996,54,38,25965.62262,21,24/06/1996,1
CN,1996,55,39,50847.54862,21,24/06/1996,1
CN,1996,56,40,24150.89072,21,24/06/1996,1
CN,1996,57,41,25631.22785,21,24/06/1996,1
CN,1996,59,42,151148.7699,21,24/06/1996,1
CN,1996,60,43,,21,24/06/1996,1
CN,1996,61,44,200746.965,21,24/06/1996,1
CN,1996,62,45,38641.7178,21,24/06/1996,1
CN,1996,63,46,33192.0161,21,24/06/1996,1
CN,1996,64,46.1,32702.0964,21,24/06/1996,1
CN,1996,65,46.2,27665.10201,21,24/06/1996,1
CN,1996,67,47,100153.7785,21,24/06/1996,1
CN,1996,68,47.1,36484.80453,21,24/06/1996,1
CN,1996,69,48,63022.17191,21,24/06/1996,1
CN,1996,71,50,81982.47908,21,24/06/1996,1
CN,1996,72,50.1,72496.6938,21,24/06/1996,1
CN,1996,73,51,15487.09955,21,24/06/1996,1
CN,1996,74,51.1,17280.59928,21,24/06/1996,1
CN,1996,76,52,47096.12362,21,24/06/1996,1
CN,1996,77,52.1,34945.87698,21,24/06/1996,1
CN,1996,78,52.2,,21,24/06/1996,1
CN,1996,79,53,,21,24/06/1996,1
CN,1996,80,53.1,21286.58626,21,24/06/1996,1
CN,1996,81,54,35470.06382,21,24/06/1996,1
CN,1996,82,55,,21,24/06/1996,1
CN,1996,83,56,23416.05386,21,24/06/1996,1
CN,1996,84,57,28994.59971,21,24/06/1996,1
CN,1996,86,58,35100.99762,21,24/06/1996,1
CN,1996,87,59,33815.27098,21,24/06/1996,1
CN,1996,88,59.1,19686.43758,21,24/06/1996,1
CN,1996,89,60,57211.07042,21,24/06/1996,1
CN,1996,90,60.1,15579.91678,21,24/06/1996,1
CN,1996,92,62,20944.07554,21,24/06/1996,1
CN,1996,94,63,57707.67736,21,24/06/1996,1
CN,1996,95,64,54039.90104,21,24/06/1996,1
CN,1996,98,66,,21,24/06/1996,1
CN,1996,99,67,10421.759,21,24/06/1996,1
CN,1996,100,68,,21,24/06/1996,1
CN,1996,101,69,18113.69912,21,24/06/1996,1
CN,1996,102,70,18060.64637,21,24/06/1996,1
CN,1996,103,71,14383.57994,21,24/06/1996,1
CN,1996,104,72,13318.20473,21,24/06/1996,1
CN,1996,105,73,13298.52264,21,24/06/1996,1
CN,1996,106,74,12178.02322,21,24/06/1996,1
CN,1996,108,75,103132.2454,21,24/06/1996,1
CN,1996,109,76,55140.44285,21,24/06/1996,1
CN,1996,110,77,47095.51951,21,24/06/1996,1
CN,1996,112,78,38709.16018,21,24/06/1996,1
CN,1996,115,80,77508.51124,21,24/06/1996,1
CN,1996,116,81,40139.61679,21,24/06/1996,1
CN,1996,117,82,73757.53749,21,24/06/1996,1
CN,1996,118,82.1,2444.40506,21,24/06/1996,1
CN,1996,119,82.2,3553.428981,21,24/06/1996,1
CN,1996,120,82.3,4317.226527,21,24/06/1996,1
CN,1996,121,83,11397.52861,21,24/06/1996,1
CN,1996,123,84,121306.5897,21,24/06/1996,1
CN,1996,124,84.1,111768.8728,21,24/06/1996,1
CN,1996,125,85,122448.3976,21,24/06/1996,1
CN,1996,126,86,126990.6927,21,24/06/1996,1
CN,1996,127,87,97704.26034,21,24/06/1996,1
CN,1996,128,87.1,,21,24/06/1996,1
CN,1996,129,88,112478.6718,21,24/06/1996,1
CN,1996,130,88.1,59304.14559,21,24/06/1996,1
CN,1996,132,90,57683.22288,21,24/06/1996,1
CN,1996,134,92,16349.86531,21,24/06/1996,1
CN,1996,135,92.1,8690.641202,21,24/06/1996,1
CN,1996,137,93,131851.0209,21,24/06/1996,1
CN,1996,138,94,17856.94643,21,24/06/1996,1
CN,1996,139,94.1,11270.22582,21,24/06/1996,1
CN,1996,141,95,48175.50586,21,24/06/1996,1
CN,1996,144,96,21802.37872,21,24/06/1996,1
CN,1996,147,97.1,92856.62235,21,24/06/1996,1
CN,1996,148,98,,21,24/06/1996,1
CN,1996,155,101.1,35650.40597,21,24/06/1996,1
CN,1996,157,102,19400.9728,21,24/06/1996,1
CN,1996,159,103.1,8974.62837,21,24/06/1996,1
CN,1996,160,104,24732.99872,21,24/06/1996,1
CN,1996,162,104.2,18607.22309,21,24/06/1996,1
CN,1996,164,107,62231.44003,21,24/06/1996,1
CN,1996,165,108,59419.13802,21,24/06/1996,1
CN,1996,166,109,96121.1722,21,24/06/1996,1
CN,1996,167,110,14360.44206,21,24/06/1996,1
CN,1996,168,111,176975.7349,21,24/06/1996,1
CN,1996,169,112,15363.85635,21,24/06/1996,1
CN,1996,171,114,46231.56027,21,24/06/1996,1
CN,1996,172,123,27582.52421,21,24/06/1996,1
CN,1996,173,116,80790.9473,21,24/06/1996,1
CN,1997,1,1,21371.30252,22,01/07/1997,1
CN,1997,2,1.1,22539.22051,22,01/07/1997,1
CN,1997,3,2,70525.24403,22,01/07/1997,1
CN,1997,4,3,,22,01/07/1997,1
CN,1997,5,3.1,70530.45681,22,01/07/1997,1
CN,1997,7,4,,22,01/07/1997,1
CN,1997,8,5,33688.31836,22,01/07/1997,1
CN,1997,9,6,77228.97659,22,01/07/1997,1
CN,1997,12,7,50549.88218,22,01/07/1997,1
CN,1997,13,8,41285.62715,22,01/07/1997,1
CN,1997,14,9,49779.17188,22,01/07/1997,1
CN,1997,15,10,29661.18915,22,01/07/1997,1
CN,1997,16,11,36430.72919,22,01/07/1997,1
CN,1997,17,12,,22,01/07/1997,1
CN,1997,20,15,34293.04102,22,01/07/1997,1
CN,1997,22,16,73456.58506,22,01/07/1997,1
CN,1997,23,17,22394.06155,22,01/07/1997,1
CN,1997,24,18,34920.1105,22,01/07/1997,1
CN,1997,25,19,40416.32288,22,01/07/1997,1
CN,1997,26,20,59399.23296,22,01/07/1997,1
CN,1997,27,21,29642.1392,22,01/07/1997,1
CN,1997,28,22,31443.3624,22,01/07/1997,1
CN,1997,30,23,27130.3792,22,01/07/1997,1
CN,1997,31,23.1,,22,01/07/1997,1
CN,1997,32,24,71969.42768,22,01/07/1997,1
CN,1997,33,25,39861.66586,22,01/07/1997,1
CN,1997,35,26.1,56720.82983,22,01/07/1997,1
CN,1997,37,27,,22,01/07/1997,1
CN,1997,38,28,44857.94132,22,01/07/1997,1
CN,1997,40,29,38884.63319,22,01/07/1997,1
CN,1997,42,30.1,43460.40995,22,01/07/1997,1
CN,1997,43,30.2,11097.87425,22,01/07/1997,1
CN,1997,44,31,,22,01/07/1997,1
CN,1997,45,32,56420.17079,22,01/07/1997,1
CN,1997,47,33,47481.02508,22,01/07/1997,1
CN,1997,48,33.1,36605.7735,22,01/07/1997,1
CN,1997,49,34,66333.35103,22,01/07/1997,1
CN,1997,51,35,67537.00825,22,01/07/1997,1
CN,1997,52,36,30801.57024,22,01/07/1997,1
CN,1997,53,37,35392.73194,22,01/07/1997,1
CN,1997,54,38,22029.72606,22,01/07/1997,1
CN,1997,55,39,94270.67132,22,01/07/1997,1
CN,1997,56,40,27850.85209,22,01/07/1997,1
CN,1997,57,41,28511.60778,22,01/07/1997,1
CN,1997,59,42,80162.36354,22,01/07/1997,1
CN,1997,60,43,,22,01/07/1997,1
CN,1997,61,44,68930.64864,22,01/07/1997,1
CN,1997,62,45,132225.5536,22,01/07/1997,1
CN,1997,63,46,70000.31357,22,01/07/1997,1
CN,1997,64,46.1,58829.46111,22,01/07/1997,1
CN,1997,65,46.2,84209.25856,22,01/07/1997,1
CN,1997,67,47,424196.0852,22,01/07/1997,1
CN,1997,68,47.1,101837.4132,22,01/07/1997,1
CN,1997,69,48,17745.48492,22,01/07/1997,1
CN,1997,71,50,20289.52201,22,01/07/1997,1
CN,1997,72,50.1,28675.56234,22,01/07/1997,1
CN,1997,73,51,22773.60385,22,01/07/1997,1
CN,1997,74,51.1,24685.21892,22,01/07/1997,1
CN,1997,76,52,55154.12118,22,01/07/1997,1
CN,1997,77,52.1,47754.92845,22,01/07/1997,1
CN,1997,78,52.2,,22,01/07/1997,1
CN,1997,79,53,,22,01/07/1997,1
CN,1997,80,53.1,27338.65748,22,01/07/1997,1
CN,1997,81,54,119205.5446,22,01/07/1997,1
CN,1997,82,55,,22,01/07/1997,1
CN,1997,83,56,52155.48,22,01/07/1997,1
CN,1997,84,57,92167.65674,22,01/07/1997,1
CN,1997,86,58,95961.91527,22,01/07/1997,1
CN,1997,87,59,18228.75694,22,01/07/1997,1
CN,1997,88,59.1,52166.29044,22,01/07/1997,1
CN,1997,89,60,31991.15171,22,01/07/1997,1
CN,1997,90,60.1,9613.251354,22,01/07/1997,1
CN,1997,92,62,10216.18247,22,01/07/1997,1
CN,1997,94,63,32008.86636,22,01/07/1997,1
CN,1997,95,64,22206.02877,22,01/07/1997,1
CN,1997,98,66,,22,01/07/1997,1
CN,1997,99,67,14695.20872,22,01/07/1997,1
CN,1997,100,68,,22,01/07/1997,1
CN,1997,101,69,19904.20638,22,01/07/1997,1
CN,1997,102,70,21604.29353,22,01/07/1997,1
CN,1997,103,71,13866.21724,22,01/07/1997,1
CN,1997,104,72,15082.32431,22,01/07/1997,1
CN,1997,105,73,12183.18656,22,01/07/1997,1
CN,1997,106,74,18804.4123,22,01/07/1997,1
CN,1997,108,75,169542.5964,22,01/07/1997,1
CN,1997,109,76,94551.62375,22,01/07/1997,1
CN,1997,110,77,76853.60635,22,01/07/1997,1
CN,1997,112,78,62570.19452,22,01/07/1997,1
CN,1997,115,80,119443.0517,22,01/07/1997,1
CN,1997,116,81,19293.77285,22,01/07/1997,1
CN,1997,117,82,21525.06957,22,01/07/1997,1
CN,1997,118,82.1,1620.608877,22,01/07/1997,1
CN,1997,119,82.2,2355.877363,22,01/07/1997,1
CN,1997,120,82.3,2862.265238,22,01/07/1997,1
CN,1997,121,83,7057.571404,22,01/07/1997,1
CN,1997,123,84,23807.90024,22,01/07/1997,1
CN,1997,124,84.1,13671.91846,22,01/07/1997,1
CN,1997,125,85,32431.38662,22,01/07/1997,1
CN,1997,126,86,66563.32957,22,01/07/1997,1
CN,1997,127,87,48386.40537,22,01/07/1997,1
CN,1997,128,87.1,,22,01/07/1997,1
CN,1997,129,88,35750.71288,22,01/07/1997,1
CN,1997,130,88.1,38457.32211,22,01/07/1997,1
CN,1997,132,90,48740.29278,22,01/07/1997,1
CN,1997,134,92,20758.39866,22,01/07/1997,1
CN,1997,135,92.1,10171.50096,22,01/07/1997,1
CN,1997,137,93,152004.7218,22,01/07/1997,1
CN,1997,138,94,12623.82619,22,01/07/1997,1
CN,1997,139,94.1,13877.47034,22,01/07/1997,1
CN,1997,141,95,35589.0032,22,01/07/1997,1
CN,1997,144,96,23083.46327,22,01/07/1997,1
CN,1997,147,97.1,57259.06291,22,01/07/1997,1
CN,1997,148,98,,22,01/07/1997,1
CN,1997,155,101.1,30103.52722,22,01/07/1997,1
CN,1997,157,102,20000.13779,22,01/07/1997,1
CN,1997,159,103.1,15316.43974,22,01/07/1997,1
CN,1997,160,104,18193.12841,22,01/07/1997,1
CN,1997,162,104.2,22668.47462,22,01/07/1997,1
CN,1997,164,107,44318.26537,22,01/07/1997,1
CN,1997,165,108,35159.24827,22,01/07/1997,1
CN,1997,166,109,32582.24248,22,01/07/1997,1
CN,1997,167,110,9615.306616,22,01/07/1997,1
CN,1997,168,111,54046.45272,22,01/07/1997,1
CN,1997,169,112,36432.78798,22,01/07/1997,1
CN,1997,171,114,62505.40514,22,01/07/1997,1
CN,1997,172,123,92575.792,22,01/07/1997,1
CN,1997,173,116,24495.10965,22,01/07/1997,1
CN,1998,1,1,30796.71941,23,20/12/1997,0
CN,1998,1,1,16690.65825,25,20/06/1998,1
CN,1998,2,1.1,22602.82897,23,20/12/1997,0
CN,1998,2,1.1,19713.79381,25,20/06/1998,1
CN,1998,3,2,56913.53526,23,20/12/1997,0
CN,1998,3,2,35719.05844,25,20/06/1998,1
CN,1998,4,3,,23,20/12/1997,0
CN,1998,4,3,44479.72479,25,20/06/1998,1
CN,1998,5,3.1,51708.63528,23,20/12/1997,0
CN,1998,5,3.1,30210.01268,25,20/06/1998,1
CN,1998,7,4,,23,20/12/1997,0
CN,1998,7,4,13338.91252,25,20/06/1998,1
CN,1998,8,5,57948.82826,23,20/12/1997,0
CN,1998,8,5,24633.85382,25,20/06/1998,1
CN,1998,9,6,38994.18164,23,20/12/1997,0
CN,1998,9,6,82160.24846,25,20/06/1998,1
CN,1998,12,7,41776.3774,23,20/12/1997,0
CN,1998,12,7,22741.37143,25,20/06/1998,1
CN,1998,13,8,59266.70239,23,20/12/1997,0
CN,1998,13,8,17082.03174,25,20/06/1998,1
CN,1998,14,9,56369.52178,23,20/12/1997,0
CN,1998,14,9,48031.71924,25,20/06/1998,1
CN,1998,15,10,30473.49174,23,20/12/1997,0
CN,1998,15,10,25340.37761,25,20/06/1998,1
CN,1998,16,11,40520.06697,23,20/12/1997,0
CN,1998,16,11,32331.42563,25,20/06/1998,1
CN,1998,17,12,,23,20/12/1997,0
CN,1998,17,12,,25,20/06/1998,1
CN,1998,20,15,46441.93217,23,20/12/1997,0
CN,1998,20,15,44814.42545,25,20/06/1998,1
CN,1998,22,16,47586.48549,23,20/12/1997,0
CN,1998,22,16,33911.97136,25,20/06/1998,1
CN,1998,23,17,37302.08208,23,20/12/1997,0
CN,1998,23,17,30856.41999,25,20/06/1998,1
CN,1998,24,18,46192.59206,23,20/12/1997,0
CN,1998,24,18,45346.01054,25,20/06/1998,1
CN,1998,25,19,42565.11842,23,20/12/1997,0
CN,1998,25,19,35936.35989,25,20/06/1998,1
CN,1998,26,20,65140.4328,23,20/12/1997,0
CN,1998,26,20,37409.87641,25,20/06/1998,1
CN,1998,27,21,22930.61613,23,20/12/1997,0
CN,1998,27,21,34878.1603,25,20/06/1998,1
CN,1998,28,22,30035.4778,23,20/12/1997,0
CN,1998,28,22,22295.70035,25,20/06/1998,1
CN,1998,30,23,26179.12863,23,20/12/1997,0
CN,1998,30,23,34104.53499,25,20/06/1998,1
CN,1998,31,23.1,,23,20/12/1997,0
CN,1998,31,23.1,5158.098824,25,20/06/1998,1
CN,1998,32,24,42062.10378,23,20/12/1997,0
CN,1998,32,24,37689.07027,25,20/06/1998,1
CN,1998,33,25,16100.81571,23,20/12/1997,0
CN,1998,33,25,20139.95005,25,20/06/1998,1
CN,1998,35,26.1,22669.61881,23,20/12/1997,0
CN,1998,35,26.1,15842.45743,25,20/06/1998,1
CN,1998,37,27,17695.43789,23,20/12/1997,0
CN,1998,37,27,17568.10287,25,20/06/1998,1
CN,1998,38,28,31621.90567,23,20/12/1997,0
CN,1998,38,28,39784.16647,25,20/06/1998,1
CN,1998,40,29,61591.53894,23,20/12/1997,0
CN,1998,40,29,14591.87724,25,20/06/1998,1
CN,1998,42,30.1,21546.05477,23,20/12/1997,0
CN,1998,42,30.1,18294.80794,25,20/06/1998,1
CN,1998,43,30.2,12563.00915,23,20/12/1997,0
CN,1998,43,30.2,18326.36324,25,20/06/1998,1
CN,1998,44,31,,23,20/12/1997,0
CN,1998,44,31,8370.401733,25,20/06/1998,1
CN,1998,45,32,41793.75887,23,20/12/1997,0
CN,1998,45,32,18216.17013,25,20/06/1998,1
CN,1998,47,33,60957.57721,23,20/12/1997,0
CN,1998,47,33,22203.40632,25,20/06/1998,1
CN,1998,48,33.1,48248.47349,23,20/12/1997,0
CN,1998,48,33.1,29041.96308,25,20/06/1998,1
CN,1998,49,34,81046.72298,23,20/12/1997,0
CN,1998,49,34,23592.91093,25,20/06/1998,1
CN,1998,51,35,58243.90466,23,20/12/1997,0
CN,1998,51,35,24090.74971,25,20/06/1998,1
CN,1998,52,36,18608.8747,23,20/12/1997,0
CN,1998,52,36,11613.3685,25,20/06/1998,1
CN,1998,53,37,17820.57067,23,20/12/1997,0
CN,1998,53,37,15925.58946,25,20/06/1998,1
CN,1998,54,38,14423.66069,23,20/12/1997,0
CN,1998,54,38,15928.6309,25,20/06/1998,1
CN,1998,55,39,53092.38754,23,20/12/1997,0
CN,1998,55,39,26782.80658,25,20/06/1998,1
CN,1998,56,40,14606.65528,23,20/12/1997,0
CN,1998,56,40,,25,20/06/1998,1
CN,1998,57,41,15636.30475,23,20/12/1997,0
CN,1998,57,41,18607.45665,25,20/06/1998,1
CN,1998,59,42,52303.4602,23,20/12/1997,0
CN,1998,59,42,43410.98571,25,20/06/1998,1
CN,1998,60,43,84540.72544,23,20/12/1997,0
CN,1998,60,43,25897.59638,25,20/06/1998,1
CN,1998,61,44,56463.21164,23,20/12/1997,0
CN,1998,61,44,37233.32755,25,20/06/1998,1
CN,1998,62,45,83746.29462,23,20/12/1997,0
CN,1998,62,45,20223.20864,25,20/06/1998,1
CN,1998,63,46,78766.45233,23,20/12/1997,0
CN,1998,63,46,18614.81165,25,20/06/1998,1
CN,1998,64,46.1,80457.28365,23,20/12/1997,0
CN,1998,64,46.1,21999.31302,25,20/06/1998,1
CN,1998,65,46.2,53236.2598,23,20/12/1997,0
CN,1998,65,46.2,20304.10178,25,20/06/1998,1
CN,1998,67,47,208584.6937,23,20/12/1997,0
CN,1998,67,47,41693.83684,25,20/06/1998,1
CN,1998,68,47.1,82670.05474,23,20/12/1997,0
CN,1998,68,47.1,25109.18128,25,20/06/1998,1
CN,1998,69,48,30134.96018,23,20/12/1997,0
CN,1998,69,48,21675.58042,25,20/06/1998,1
CN,1998,71,50,36843.44276,23,20/12/1997,0
CN,1998,71,50,9236.963975,25,20/06/1998,1
CN,1998,72,50.1,53706.63651,23,20/12/1997,0
CN,1998,72,50.1,20634.25316,25,20/06/1998,1
CN,1998,73,51,35761.27204,23,20/12/1997,0
CN,1998,73,51,21449.93708,25,20/06/1998,1
CN,1998,74,51.1,36647.93339,23,20/12/1997,0
CN,1998,74,51.1,20972.9909,25,20/06/1998,1
CN,1998,76,52,40872.30728,23,20/12/1997,0
CN,1998,76,52,48982.56457,25,20/06/1998,1
CN,1998,77,52.1,45343.49073,23,20/12/1997,0
CN,1998,77,52.1,58103.0403,25,20/06/1998,1
CN,1998,78,52.2,,23,20/12/1997,0
CN,1998,78,52.2,,25,20/06/1998,1
CN,1998,79,53,,23,20/12/1997,0
