BloodID,TL,BirdID,Ageclass,RightTarsus,LeftTarsus,OccasionDate,OccasionID,MinOfFieldPeriodID,BreedGroupID,TerritoryID,Status,MaxOfMaxOfSeenDate,LayYear,SexEstimate,BodyMass
256,4879.07881,1669,A,25.4,,22/12/2003,1240,31,2643,68,BrF,20/01/2015,2001,0,14.9
257,20142.64065,1788,SA,26.1,,23/12/2003,1241,31,2682,125,BrM,30/08/2007,2002,1,16.2
260,4171.6073,862,A,24.5,,24/12/2003,1243,31,2661,90,BrF,11/12/2005,1994,0,16.8
261,5370.717742,1878,A,25.7,,24/12/2003,1243,31,2661,90,BrM,29/06/2006,2001,1,15.6
263,3920.131853,544,A,26.0,,27/12/2003,1245,31,2697,159,BrM,29/08/2004,1993,1,15.6
267,3484.281519,1509,A,26.0,,22/12/2003,1240,31,2594,7,BrM,31/08/2010,1999,1,17.0
269,6877.655329,1877,J,26.1,,23/12/2003,1241,31,2682,125,OFL,21/02/2015,2003,1,14.9
270,5137.950821,1401,A,24.2,,23/12/2003,1241,31,2682,125,BrF,18/07/2010,1997,0,15.0
271,5927.596653,1381,A,24.5,,27/12/2003,1245,31,2672,105,BrM,10/12/2005,1997,1,14.5
272,4109.131806,1616,A,26.8,,01/01/2004,1248,31,2684,127,BrM,26/02/2012,2000,1,17.4
275,3418.766993,1886,A,25.2,,02/01/2004,1249,31,2687,134,BrM,16/02/2010,2002,1,15.5
276,4067.134885,1591,A,26.0,,03/01/2004,1251,31,2649,75,BrM,18/11/2005,2000,1,17.0
277,4893.096428,1358,A,27.4,,03/01/2004,1251,31,2650,76,BrM,11/12/2005,1998,1,17.6
279,2982.20395,1597,A,25.2,,02/01/2004,1249,31,2690,138,BrF,05/07/2004,2000,0,15.1
284,4323.28391,2959,A,24.3,,24/05/2004,1263,32,2747,54,U,07/09/2010,2002,0,13.9
286,3421.356779,1723,A,26.0,,25/05/2004,1266,32,2724,24,BrM,18/12/2004,2002,1,15.0
288,3199.045204,1702,A,23.6,,25/05/2004,1266,32,2710,5,ABX,31/08/2010,2002,1,15.4
292,5521.84429,1042,A,24.9,,06/06/2004,1296,34,604,63,BrF,25/08/2014,1996,0,15.8
299,5029.118081,1608,A,24.4,,25/05/2004,1266,32,2795,116,BrM,13/01/2007,2000,1,15.6
313,3015.475342,1532,A,24.0,,08/06/2004,1301,34,568,4,BrF,08/09/2010,1999,0,14.4
322,4968.475452,2983,A,24.0,,24/06/2004,1339,34,2857,99,ABX,11/08/2008,2003,0,13.1
323,3468.54771,1685,A,24.2,,09/06/2004,1305,34,2862,116,BrF,24/08/2010,2002,0,15.0
349,7024.900775,1244,A,22.0,,30/06/2004,1353,34,607,71,BrF,17/07/2008,1997,0,15.0
350,8867.023138,1742,A,25.3,,01/07/2004,1356,34,607,71,BrM,28/08/2008,2002,1,15.7
351,5783.079889,1782,A,23.6,,01/07/2004,1356,34,606,70,BrF,25/08/2010,2002,0,15.5
357,4996.920858,595,A,24.6,,05/07/2004,1367,34,571,9,BrF,18/12/2004,1993,0,14.9
360,3963.915683,1739,A,24.7,,03/07/2004,1361,34,596,53,BrM,27/07/2008,2002,1,16.1
361,2584.921565,2985,SA,24.2,,04/07/2004,1365,34,593,47,ABX,07/09/2010,2003,0,14.1
364,1740.529647,1731,A,25.2,,01/07/2004,1356,34,619,112,BrM,25/07/2013,2002,1,16.0
372,8727.400565,912,A,24.1,,25/07/2004,1415,34,566,1,BrF,30/07/2008,1994,0,15.7
373,4671.689028,1193,A,25.1,,15/07/2004,1386,34,594,48,BrF,23/08/2007,1996,0,15.6
375,5042.340808,1698,A,26.7,,02/08/2004,1432,34,595,51,BrM,26/08/2010,2001,1,16.9
376,5771.699366,1766,A,25.3,,26/07/2004,1417,34,589,39,ABX,26/08/2008,2003,1,16.4
378,4131.381776,1361,A,24.0,,31/07/2004,1428,34,595,51,BrF,15/03/2010,1998,0,16.4
379,4561.743003,1756,A,25.2,,28/07/2004,1420,34,621,123,BrM,07/06/2005,2001,1,15.6
380,5022.474333,1415,A,23.8,,26/07/2004,1417,34,589,39,BrF,25/01/2013,1998,0,15.9
381,6121.771567,1743,A,25.3,,27/07/2004,1419,34,589,39,BrM,02/01/2009,2002,1,17.1
382,4554.01567,1725,A,25.1,,06/07/2004,1370,34,2870,155,BrF,10/12/2005,2001,0,15.6
393,4688.276912,1742,A,25.4,,28/07/2004,1420,34,607,71,BrM,28/08/2008,2002,1,14.6
394,4710.871185,1570,A,26.0,,31/07/2004,1427,34,635,169,BrM,29/08/2004,1999,1,16.9
395,4519.334149,3002,SA,24.1,,28/07/2004,1421,34,606,70,ABX,15/07/2013,2003,0,14.8
397,3203.914084,1501,A,24.6,,05/08/2004,1438,34,583,28,BrF,10/08/2009,1998,0,14.9
399,3319.202718,1155,A,23.1,,31/07/2004,1428,34,635,169,BrF,16/07/2007,1996,0,16.3
401,5682.238058,497,A,26.9,,02/08/2004,1431,34,570,8,BrM,31/08/2007,1993,1,17.0
403,7829.947921,441,A,25.0,,09/08/2004,1447,34,588,38,BrF,08/01/2007,1992,0,15.3
406,4177.518222,1506,A,23.8,,15/08/2004,1460,34,581,25,BrF,07/01/2007,1999,0,16.4
407,6331.888199,1165,A,25.1,,09/08/2004,1447,34,588,38,BrM,29/11/2005,1996,1,17.1
408,3336.173588,1824,SA,25.0,,04/08/2004,1437,34,578,22,ABX,17/02/2015,2003,0,15.0
408,5366.777068,1824,SA,25.0,,04/08/2004,1437,34,578,22,ABX,17/02/2015,2003,0,15.0
409,6246.38703,1774,A,24.5,,05/08/2004,1438,34,583,28,ABX,28/08/2008,2002,1,15.9
411,6886.16637,1541,A,24.2,,12/08/2004,1455,34,601,59,BrF,09/12/2005,1999,0,16.2
414,3424.379067,1773,A,25.6,,11/08/2004,1453,34,582,27,BrM,02/09/2005,2002,1,17.2
416,18473.76883,1869,SA,24.3,,22/08/2004,1472,34,2848,83,ABX,22/01/2015,2003,1,16.4
417,3446.374162,1616,A,26.0,,09/08/2004,1446,34,624,127,BrM,26/02/2012,2000,1,17.8
419,6418.204259,1559,A,23.5,,09/08/2004,1448,34,608,75,BrF,10/09/2009,1999,0,15.4
428,4720.387015,1802,A,25.8,,10/08/2004,1451,34,611,79,BrM,01/09/2010,2002,1,16.0
433,5327.466889,1729,A,26.3,,19/12/2004,1500,35,2887,20,BrM,01/03/2015,2001,1,16.9
435,6452.124728,3085,FL,23.9,,21/12/2004,1502,35,2875,3,OFL,01/03/2015,2004,0,14.3
435,12429.73526,3085,FL,23.9,,21/12/2004,1502,35,2875,3,OFL,01/03/2015,2004,0,14.3
435,14156.50928,3085,FL,23.9,,21/12/2004,1502,35,2875,3,OFL,01/03/2015,2004,0,14.3
436,5236.670328,1740,A,24.9,,19/12/2004,1500,35,2877,5,BrF,24/01/2009,2001,0,15.9
436,5236.670328,1740,A,24.9,,19/12/2004,1500,35,2887,20,BrF,24/01/2009,2001,0,15.9
437,3427.961393,1605,A,23.9,,19/12/2004,1500,35,2879,8,BrF,24/02/2015,2000,0,14.5
438,1892.866828,3086,FL,24.5,,22/12/2004,1503,35,2898,36,FL,21/01/2015,2004,0,14.5
440,7851.139142,2990,SA,27.7,,23/12/2004,1504,35,2917,63,ABX,17/08/2010,2004,1,16.0
441,2922.456467,2960,SA,25.5,,25/12/2004,1506,35,6253,-3,FLOAT,24/02/2015,2003,1,15.7
442,1426.356667,3020,FL,25.8,,21/12/2004,1502,35,2887,20,FL,14/07/2007,2004,1,15.6
443,3449.618697,1577,A,26.0,,23/12/2004,1504,35,2917,63,BrM,01/07/2013,2000,1,16.6
444,4687.712673,3090,SA,24.6,,02/01/2005,1514,35,2948,105,BrF,21/07/2008,2004,0,
446,5768.907663,1356,A,26.1,,30/12/2004,1511,35,2932,82,BrM,03/09/2009,1997,1,17.3
448,2984.088163,1494,A,23.9,,02/01/2005,1514,35,2967,140,BrM,22/01/2015,1999,1,16.3
449,22356.92313,3094,OFL,25.4,,28/12/2004,1509,35,2961,128,OFL,17/01/2015,2004,0,14.4
451,11644.6574,3093,FL,26.7,,30/12/2004,1511,35,2927,76,FL,28/05/2013,2004,1,15.9
452,3552.215239,3022,A,23.8,,26/12/2004,1507,35,2975,167,BrF,12/02/2014,2004,0,13.9
453,239.1337443,1869,SA,25.2,,31/12/2004,1512,35,2933,83,ABX,22/01/2015,2003,1,15.8
453,327.4748589,1869,SA,25.2,,31/12/2004,1512,35,2933,83,ABX,22/01/2015,2003,1,15.8
460,2723.633138,3089,FL,26.9,,03/01/2005,1515,35,2967,140,FL,25/01/2015,2004,1,17.7
461,2671.851665,1617,A,25.1,,02/01/2005,1514,35,2967,140,BrF,03/12/2011,2000,0,14.8
462,2143.879527,1744,A,25.4,,04/01/2005,1516,35,2914,60,BrM,02/09/2010,2001,1,15.8
463,2362.452928,1857,A,24.4,,10/06/2005,1534,37,667,28,H,12/02/2014,2003,0,14.7
467,4002.826131,1702,A,24.1,,07/06/2005,1528,37,662,23,BrM,31/08/2010,2002,1,17.0
471,1742.790617,3453,SA,23.8,,12/06/2005,1538,37,689,60,BrF,22/09/2012,2004,0,13.9
472,21324.59644,3449,FL,23.8,,10/06/2005,1533,37,664,25,OFL,12/09/2009,2005,0,12.8
474,4496.384558,1744,A,25.1,,11/06/2005,1535,37,689,60,BrM,02/09/2010,2001,1,15.1
475,6820.802268,1040,A,25.8,,12/06/2005,1538,37,724,109,BrM,23/06/2006,1995,1,17.0
480,5691.524094,1018,A,26.4,,12/06/2005,1537,37,725,110,BrM,16/08/2007,1995,1,17.5
481,5229.385237,1437,A,24.2,,15/06/2005,1543,37,710,87,BrF,18/07/2007,1998,0,15.5
482,4326.500371,1722,A,26.5,,15/06/2005,1543,37,710,87,BrM,24/09/2012,2001,1,17.5
483,7029.888078,3454,SA,22.6,,14/06/2005,1542,37,721,101,BrM,18/12/2011,2004,1,15.5
484,3267.08762,1731,A,25.2,,12/06/2005,1538,37,727,112,BrM,25/07/2013,2002,1,
486,5026.066552,3456,A,26.3,,13/06/2005,1539,37,724,109,H,21/02/2015,2004,1,16.5
487,2046.591261,3458,OFL,27.0,,17/06/2005,1548,37,745,159,OFL,01/09/2010,2005,1,15.0
493,3784.848875,1725,A,25.1,,17/06/2005,1547,37,744,155,BrF,10/12/2005,2001,0,16.0
495,7829.573154,3460,FL,26.2,,17/06/2005,1548,37,744,155,U,14/01/2007,2005,1,14.9
496,4894.327088,1543,A,25.1,,13/07/2005,1596,37,676,42,BrM,14/09/2009,1999,1,15.5
503,2025.540768,3489,OFL,26.1,,13/07/2005,1597,37,668,30,OFL,08/01/2007,2005,1,15.9
526,3950.611503,1523,A,25.9,,14/07/2005,1599,37,688,58,BrM,31/01/2013,1999,1,18.1
529,5652.188344,1857,A,24.2,,13/07/2005,1596,37,667,28,H,12/02/2014,2003,0,15.3
531,3850.685139,1501,A,24.5,,13/07/2005,1596,37,667,28,BrF,10/08/2009,1998,0,16.6
533,3851.721396,1778,A,23.5,,17/07/2005,1605,37,656,13,BrF,29/08/2007,2002,0,14.7
534,5149.12553,1705,A,23.0,,17/07/2005,1605,37,646,1,H,11/12/2005,2002,0,
537,7833.066003,1750,A,25.9,,17/07/2005,1605,37,646,1,BrM,03/02/2015,2002,1,16.1
539,5142.051626,3487,A,25.2,,14/07/2005,1598,37,676,42,BrF,24/01/2008,2004,0,14.5
540,5172.742612,1660,A,24.6,,18/07/2005,1607,37,652,8,ABX,24/02/2015,2002,0,14.5
543,6740.65112,1804,SA,25.9,,18/07/2005,1607,37,649,4,H,28/08/2008,2003,1,
544,1589.229465,3500,OFL,24.0,,18/07/2005,1606,37,657,14,BrF,21/08/2009,2005,0,14.9
548,339.5339617,3497,OFL,24.1,,18/07/2005,1606,37,646,1,OFL,19/01/2015,2005,0,15.0
555,5853.849578,1722,A,25.5,,27/07/2005,1631,37,710,87,BrM,24/09/2012,2001,1,18.0
556,3262.331977,1504,A,27.4,,19/07/2005,1609,37,684,54,BrM,24/08/2010,1999,1,16.5
558,1249.942236,1716,A,24.6,,25/07/2005,1622,37,751,173,BrF,25/02/2015,2002,0,15.9
560,7887.140821,1801,SA,,,22/07/2005,1611,37,739,138,BrM,17/08/2013,2002,1,
563,8265.964563,1895,SA,24.5,,28/07/2005,1634,37,705,81,BrF,26/02/2010,2003,0,17.2
566,4645.869182,1536,A,23.7,,26/07/2005,1627,37,672,36,BrF,26/08/2008,1999,0,12.2
570,11430.05302,3505,OFL,23.6,,28/07/2005,1635,37,724,109,OFL,05/09/2009,2005,0,14.1
574,5939.580891,3511,OFL,25.7,,01/08/2005,1649,37,715,94,OFL,06/12/2005,2005,1,15.9
576,2903.370902,1587,A,25.7,,29/07/2005,1638,37,742,144,BrM,13/01/2007,1999,1,17.5
577,2087.691888,3507,A,23.4,,30/07/2005,1643,37,742,144,BrF,09/02/2013,2004,0,13.2
578,4055.567697,3507,A,23.4,,30/07/2005,1643,37,742,144,BrF,09/02/2013,2004,0,13.2
581,5202.954854,3508,A,24.2,,30/07/2005,1643,37,739,138,BrF,10/12/2005,2004,0,14.9
585,6437.576054,1029,A,26.7,,29/07/2005,1637,37,677,43,BrM,31/08/2010,1996,1,16.5
588,7888.269298,1276,A,26.2,,02/08/2005,1656,37,3007,137,BrM,15/01/2007,1996,1,17.1
589,4614.411927,1757,A,24.5,,02/08/2005,1656,37,688,58,BrF,07/09/2010,2001,0,15.2
590,3640.614678,1523,A,26.6,,01/08/2005,1651,37,688,58,BrM,31/01/2013,1999,1,18.0
591,4074.538759,1577,A,26.2,,04/08/2005,1664,37,691,63,BrM,01/07/2013,2000,1,16.4
594,6668.081193,2984,A,23.8,,04/08/2005,1664,37,647,2,BrF,04/01/2009,2003,0,15.9
595,5515.34621,2960,A,25.4,,04/08/2005,1664,37,647,2,BrM,24/02/2015,2003,1,16.2
597,5626.31962,2990,A,27.6,,04/08/2005,1664,37,691,63,AB,17/08/2010,2004,1,16.9
598,6045.773456,1504,A,27.5,,07/08/2005,1666,37,684,54,BrM,24/08/2010,1999,1,17.0
600,5479.729023,2959,A,24.8,,07/08/2005,1667,37,687,57,BrF,07/09/2010,2002,0,16.5
603,2682.255754,1757,A,24.1,,09/08/2005,1670,37,688,58,BrF,07/09/2010,2001,0,15.5
605,2804.073186,1523,A,26.6,,08/08/2005,1669,37,688,58,BrM,31/01/2013,1999,1,17.5
606,5566.40129,3085,SA,23.6,,13/08/2005,1682,37,648,3,H,01/03/2015,2004,0,14.5
608,18494.04281,3018,SA,24.6,,11/08/2005,1677,37,677,43,H,10/12/2005,2004,0,15.0
609,4518.511921,1831,A,25.3,,06/08/2005,1665,37,687,57,BrM,17/06/2007,2003,1,17.5
610,5896.724373,3567,SA,24.0,,19/08/2005,1695,37,688,58,ABX,17/06/2014,2004,0,15.0
611,5187.382001,1043,A,,,10/08/2005,1673,37,3008,165,BrF,15/02/2010,1995,0,
619,5314.615857,1412,A,25.8,,23/08/2005,1700,37,736,129,BrM,02/08/2010,1998,1,16.5
623,3780.189122,1781,A,24.1,,18/08/2005,1694,37,752,174,BrF,18/08/2005,2002,0,16.5
627,3507.646859,1501,A,24.5,,20/08/2005,1698,37,667,28,BrF,10/08/2009,1998,0,16.0
628,7525.291892,1864,SA,24.9,,25/08/2005,1704,37,671,34,BrF,23/09/2013,2003,0,14.7
631,5100.431831,1606,A,26.4,,19/08/2005,1695,37,667,28,BrM,04/07/2006,2000,1,17.5
633,4712.54931,1384,A,23.5,,24/08/2005,1702,37,679,46,BrF,10/08/2009,1998,0,16.0
637,10126.05383,1611,A,24.5,,25/08/2005,1703,37,669,32,BrM,31/07/2012,2000,1,15.0
639,5043.779744,1499,A,25.2,,24/08/2005,1701,37,653,9,BrM,19/02/2013,1999,1,15.7
641,5596.393682,1823,A,26.8,,25/08/2005,1705,37,708,85,BrM,15/01/2008,2002,1,16.0
